"01","02","03","04","05","06","07","08","09","10","11","12"
"136.0","112.7","305.7","119.8","372.1"," 43.8","366.5","576.9","728.6","285.0","207.3","245.7"
" 9.832258","11.335714","13.451613","16.843333","20.419355","23.680000","23.645161","22.567742","21.263333","18.703226","17.130000","12.300000"
"12.95161","15.13571","17.11613","21.05000","23.34194","27.20667","27.60323","25.79677","24.87667","21.29677","20.09333","14.60000"
" 7.483871"," 8.935714","10.900000","13.720000","18.141935","21.600000","21.161290","20.596774","19.093333","17.032258","15.073333","10.341935"
"20.1","21.6","25.5","27.7","28.1","28.8","29.2","28.9","29.2","28.5","26.4","23.7"
" 2.6"," 2.5"," 5.3"," 7.0","12.1","20.5","19.5","18.8","17.0","13.8"," 5.8"," 2.5"
