"01","02","03","04","05","06","07","08","09","10","11","12"
"137.5"," 72.0","178.5"," 40.0","356.5","519.0","165.5","422.0"," 82.5","395.5","343.5","309.0"
"10.25806","13.28929","12.63871","17.46000","21.71613","24.60667","24.99355","24.80645","22.57667","19.84516","18.95667","13.34194"
"13.17419","18.52857","16.89355","24.10667","27.19032","30.98276","31.60000","31.30323","28.23333","23.13871","22.67333","16.16129"
" 7.774194"," 9.789286"," 9.577419","12.256667","17.922581","20.586667","20.651613","20.467742","18.703333","17.832258","16.306667","11.264516"
"19.9","27.1","28.5","31.5","36.2","33.3","34.4","34.5","33.7","29.0","30.7","29.2"
" 0.4"," 4.9"," 6.8"," 5.8","13.5","19.1","17.4","17.1","13.5","14.1","10.6"," 4.7"
