"01","02","03","04","05","06","07","08","09","10","11","12"
" 97.9"," 74.3","136.7"," 30.6","253.6","354.4","186.7","178.6"," 48.9","101.4","262.0","183.9"
"13.56129","16.41071","15.94194","21.24333","24.47097","28.59667","29.19355","29.31290","27.51333","24.05806","22.86000","16.75161"
"15.80968","20.52500","19.12258","26.36667","28.68387","33.93333","34.56452","34.62903","32.11000","27.06774","25.56667","19.07742"
"11.66129","13.54643","13.42581","17.15667","21.30000","25.02333","25.48387","25.82258","24.49000","22.19032","20.77000","14.96774"
"21.1","28.7","30.9","34.1","35.8","35.9","37.6","37.0","35.3","32.0","33.0","31.2"
" 7.7"," 9.1","10.2","12.1","16.7","23.1","23.8","24.1","21.3","19.5","17.6","10.9"
