"01","02","03","04","05","06","07","08","09","10","11","12"
" 114.4"," 158.6","  35.2"," 452.6"," 679.1","1863.2"," 194.9"," 998.0"," 251.3","   7.4"," 257.9"," 153.7"
" 6.454839"," 7.965517","10.206452","11.336667","13.219355","14.873333","15.122581","14.506452","13.770000","12.148387","10.510000"," 8.100000"
" 9.916129","11.417241","14.493548","14.796667","17.483871","18.636667","19.658065","18.303226","18.423333","17.487097","14.246667","11.929032"
" 3.503226"," 5.386207"," 6.858065"," 9.086667","10.264516","12.600000","11.951613","12.032258","10.610000"," 8.380645"," 7.803333"," 5.122581"
"15.5","16.7","19.8","18.7","22.2","23.2","22.4","22.5","20.6","20.2","18.3","16.6"
" 0.6"," 2.1"," 1.5"," 6.9"," 7.6","10.8","10.7"," 9.3"," 7.2"," 4.8"," 5.0"," 2.0"
