"01","02","03","04","05","06","07","08","09","10","11","12"
" 179.5"," 223.0"," 209.7"," 150.6"," 181.5","1009.1"," 160.0","  34.8"," 307.5","1607.3"," 720.6"," 591.5"
"11.61935","10.36071","12.40645","16.50667","19.42258","22.25667","23.61290","24.01935","22.83667","18.87742","16.43667","10.99677"
"14.77419","13.93571","16.36129","20.45333","22.58710","25.58667","27.98710","28.34194","26.39667","21.00645","19.15333","13.33871"
" 9.703226"," 8.103571"," 9.654839","13.236667","17.151613","20.176667","20.612903","21.577419","20.366667","17.548387","14.520000"," 9.261290"
"22.5","21.5","23.8","26.5","27.1","28.7","30.7","30.7","30.5","28.2","26.6","19.9"
" 3.8"," 1.5"," 4.6"," 6.6","14.2","17.9","19.1","20.0","17.0","11.6"," 9.1"," 5.4"
