"01","02","03","04","05","06","07","08","09","10","11","12"
" 24.5","104.5","190.0","120.5","100.5","527.5","281.5"," 64.0"," 45.5","167.5"," 91.0"," 52.5"
"16.14839","14.84286","16.16452","20.65333","23.77097","26.24333","27.87097","28.66452","27.64706","23.14815","19.76000","15.11935"
"19.34194","18.15000","19.89677","24.77667","27.41290","29.75333","32.51200","33.48000","33.93846","26.36667","22.61364","17.56552"
"13.99355","12.56429","13.50000","17.21333","21.04194","23.48000","24.62800","25.36667","24.79231","21.14583","17.59545","13.05862"
"26.8","25.5","25.8","32.0","32.1","33.2","34.2","35.4","37.9","37.6","28.9","23.5"
" 9.6"," 7.8","10.1"," 9.6","18.4","20.7","22.2","24.0","22.8","16.5","13.8"," 9.5"
