"01","02","03","04","05","06","07","08","09","10","11","12"
" 29.5","211.0","199.5","111.5","407.0","170.0","200.5"," 93.0","138.0"," 42.5"," 95.0","102.5"
"14.70323","14.42143","16.86774","20.67000","23.42581","26.32000","28.23793","27.92581","27.62000","22.67742","20.09333","14.19677"
"19.26129","18.33571","20.70323","24.82333","27.02903","29.48333","32.55714","32.13077","32.01379","25.95806","23.30000","17.01000"
"11.48065","11.53929","14.06774","17.92333","20.93548","24.08000","25.20000","24.81538","24.40690","20.25806","17.76333","11.78667"
"25.9","26.9","30.4","29.7","31.9","32.0","34.6","33.7","36.6","31.7","28.9","23.3"
" 7.7"," 5.3"," 9.7","13.0","13.4","21.9","23.1","21.8","21.8","16.6","14.1"," 7.5"
