"01","02","03","04","05","06","07","08","09","10","11","12"
" 52.7","199.2"," 33.8","224.1","522.7","457.5","858.8","366.3","592.4","194.4"," 87.8"," 64.9"
" 6.793548"," 8.839286","10.254839","12.150000","13.880645","14.466667","15.083871","14.854839","14.403333","13.200000","10.150000"," 7.283871"
"10.88387","12.58929","14.51935","16.25667","17.87097","17.87000","19.24194","19.74516","18.72000","17.91935","14.48000","11.82258"
" 3.425806"," 5.900000"," 6.645161"," 8.966667","11.000000","12.183333","12.487097","11.938710","11.563333","10.293548"," 6.936667"," 3.554839"
"16.2","17.1","19.1","19.2","21.0","21.1","22.0","22.1","21.6","20.7","17.5","18.1"
"-3.2"," 1.5"," 0.9"," 5.4"," 6.8"," 6.9","11.4"," 9.0"," 9.4"," 3.3"," 2.6","-2.9"
