"01","02","03","04","05","06","07","08","09","10","11","12"
" 28.0","117.0","199.5","300.5","226.5","813.0","390.5"," 36.0"," 92.5","227.5","131.0"," 67.0"
"15.14194","13.79286","15.59032","20.56000","22.17419","24.04000","25.43226","26.36452","25.40667","22.16129","19.60667","14.97419"
"19.60968","18.36786","20.97419","28.50385","26.86667","29.20333","31.63871","32.36452","30.98333","26.44194","23.85000","19.00968"
"12.04839","10.83571","12.25484","16.00000","19.01000","21.23667","22.08065","22.56774","21.91333","19.31613","16.70667","12.32581"
"24.3","26.7","29.2","35.0","31.1","32.9","33.8","34.9","35.3","33.3","29.7","24.3"
" 7.2"," 5.2"," 7.2"," 9.0","15.3","20.1","20.1","21.4","18.4","13.4","12.3"," 8.2"
