"01","02","03","04","05","06","07","08","09","10","11","12"
"  62.0","  53.0"," 200.0"," 128.0"," 295.0"," 271.0"," 504.0","1173.5"," 991.5"," 290.5","  93.5"," 116.0"
"12.29355","13.96071","16.53548","19.42667","23.14516","26.17667","25.58387","24.73871","23.55000","21.14839","19.83000","15.46774"
"16.82258","19.88800","22.19333","25.98000","28.92903","33.32667","32.54839","30.72903","29.91333","25.32903","24.80714","18.32000"
" 8.822581","10.604000","12.690000","14.786667","18.941935","21.383333","21.216129","20.932258","19.406667","18.187097","16.475000","12.800000"
"23.4","27.4","32.1","33.7","35.7","35.5","35.7","34.2","34.8","32.4","31.3","27.1"
" 1.3"," 2.1"," 9.0"," 5.8","15.2","20.2","19.0","18.1","15.5","12.4"," 5.6"," 6.0"
