"01","02","03","04","05","06","07","08","09","10","11","12"
"  24.0","  55.1","  41.0"," 123.5","1002.8","  48.2"," 450.6"," 984.3"," 575.5","  40.4","  11.1","  56.8"
" 6.687097"," 6.575000","10.364516","11.783333","13.851613","15.446667","14.732258","14.477419","14.216667","13.561290","11.796667"," 9.758065"
"11.29355","10.92500","14.75161","16.53000","17.71935","20.28000","19.78065","18.59355","18.56333","18.02903","16.13333","14.13548"
" 3.174194"," 3.296429"," 7.241935"," 8.143333","11.006452","11.826667","11.700000","11.883871","11.503333","10.735484"," 8.860000"," 6.616129"
"15.6","16.8","19.4","22.2","22.5","22.5","22.6","23.6","20.9","20.9","19.4","18.0"
"-1.3","-1.6"," 1.9","-0.9"," 7.5"," 9.3"," 8.5"," 8.7"," 9.0"," 7.4"," 4.0"," 2.8"
