"01","02","03","04","05","06","07","08","09","10","11","12"
"186.5","258.5","108.5","284.0","241.0","489.5","192.0","673.5","109.5"," 37.0","308.5","203.0"
"14.05161","14.45517","16.80323","21.63000","24.39355","26.14667","28.23548","27.10645","25.29333","22.49355","19.60333","15.95484"
"16.73226","18.15517","21.40968","26.01333","28.61935","29.90667","32.76452","31.43548","29.48667","26.88710","23.19000","19.74194"
"12.35806","11.94483","13.59032","18.67333","21.32903","23.60667","24.99677","24.39677","22.59000","19.60968","17.07000","13.41290"
"24.4","26.8","28.6","31.8","32.7","34.5","37.2","34.1","33.1","32.4","30.1","28.0"
" 7.2"," 7.6"," 8.6","15.2","18.1","21.5","23.7","22.9","19.1","17.0","11.9"," 6.4"
