"01","02","03","04","05","06","07","08","09","10","11","12"
" 55.0"," 18.5"," 91.5","356.5","521.0","128.0","466.0","829.0","195.5","291.0"," 63.5","259.0"
"13.68710","16.33929","16.79032","18.10000","22.66452","25.31333","25.14839","25.33226","24.17000","20.47097","18.48667","13.50000"
"17.07742","20.48571","21.14194","21.55667","26.93667","30.33333","30.92903","30.09032","28.64000","23.78065","22.07333","16.61935"
"11.07742","13.47143","13.28065","15.41333","19.96333","22.12333","21.98065","22.36129","20.71000","17.98065","15.58333","11.14516"
"23.0","25.7","25.6","28.1","32.8","32.9","32.8","34.2","32.9","28.5","28.8","24.2"
" 6.9","10.6"," 6.5"," 9.2","11.2","20.9","20.1","20.8","17.2","13.0"," 5.6"," 4.8"
