"01","02","03","04","05","06","07","08","09","10","11","12"
"  10.0","  33.4"," 107.4"," 330.5"," 336.0","1986.6"," 940.3"," 247.6"," 171.6","  95.2","  72.9","  30.9"
" 8.287097"," 7.017857"," 9.458065","11.726667","13.567742","14.776667","14.977419","15.683871","15.700000","14.035484","12.986667"," 8.977419"
"12.76129","11.15000","13.66774","15.69667","18.04839","18.44333","19.68710","20.17097","20.30000","18.70645","17.25333","13.24839"
" 4.967742"," 4.117857"," 6.332258"," 8.606667","10.651613","12.373333","11.948387","12.645161","12.753333","10.635484","10.533333"," 5.958065"
"17.7","16.9","17.8","19.1","21.3","21.8","22.0","22.6","22.6","22.1","19.7","17.0"
"-0.1","-1.1"," 0.2","-0.2"," 7.9","10.3","10.3","11.4","10.1"," 3.7"," 8.0"," 1.3"
