"01","02","03","04","05","06","07","08","09","10","11","12"
"107.5"," 64.5","116.5"," 38.0","205.0","544.0","271.5","170.0"," 36.5","108.5","220.0","159.0"
"11.90000","14.55000","14.31613","20.06000","23.10968","27.06333","27.50968","27.75806","26.36667","22.90000","21.50000","15.20000"
"14.36774","18.36429","17.36129","24.57000","27.03871","31.81333","32.16452","32.59355","31.00000","26.12903","24.80333","17.69032"
" 9.932258","11.921429","11.925806","16.636667","20.280645","23.953333","24.406452","24.570968","23.340000","20.948387","19.276667","13.296774"
"19.7","27.6","29.0","31.8","33.8","34.9","35.8","35.8","33.8","31.1","32.9","28.3"
" 5.3"," 6.9"," 8.8","11.9","16.4","22.2","22.6","22.6","20.6","17.9","16.0"," 9.2"
