"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Tem","TMax","TMaxTime","TMin","TMinTime","Tddewpoint","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVIMax","UVIMaxTime","CloudAmount"
"2013-01-01",1019.6,1020.9,1021.7,"2013-01-01 09:18",1018.4,"2013-01-01 02:56",13.7,14.3,"2013-01-01 07:24",13,"2013-01-01 00:01",10.3,80,66,"2013-01-01 04:51",2.2,80,7.2,50,"2013-01-01 06:20",11,16.8,1,"2013-01-01 15:47",2,"2013-01-01 11:06","0.0",0,0,10.1,-0.3,NA,"",10
"2013-01-02",1019.6,1020.9,1023.1,"2013-01-02 23:47",1017,"2013-01-02 03:48",17,20.4,"2013-01-02 14:45",14.2,"2013-01-02 06:37",13.8,82,66,"2013-01-02 15:20",0.9,30,4.7,30,"2013-01-02 01:11",4.5,5.5,1,"2013-01-02 21:55",3,"2013-01-02 21:59","0.7",6.6,5.37,12.1,-0.6,NA,"",9.1
"2013-01-03",1025.1,1026.4,1027.7,"2013-01-03 09:20",1023.1,"2013-01-03 00:01",14.3,16.1,"2013-01-03 00:01",13,"2013-01-03 22:29",11.5,83,77,"2013-01-03 13:26",3.3,90,11.2,80,"2013-01-03 12:12",16,23.4,1.5,"2013-01-03 02:29",3,"2013-01-03 01:39","0.0",0,1.86,6.6,-0.4,NA,"",10
"2013-01-04",1019.4,1020.7,1024.5,"2013-01-04 00:01",1016.3,"2013-01-04 14:21",15.6,17.8,"2013-01-04 13:51",13.2,"2013-01-04 00:01",12.5,82,76,"2013-01-04 11:12",3.4,60,10.9,40,"2013-01-04 07:42",5.5,12.3,0.5,"2013-01-04 00:08",1.5,"2013-01-04 00:57","0.3",2.8,5.9,10.1,-0.6,NA,"",9.5
"2013-01-05",1017.1,1018.4,1019.2,"2013-01-05 09:11",1015.5,"2013-01-05 13:09",16.9,19.7,"2013-01-05 13:06",15.6,"2013-01-05 06:20",13.9,83,73,"2013-01-05 13:06",2,80,8.7,110,"2013-01-05 16:13",3.5,7.1,0.7,"2013-01-05 04:30",2.3,"2013-01-05 04:22","0.9",8.5,4.95,9.9,-0.7,NA,"",10
"2013-01-06",1016.7,1018,1018.2,"2013-01-06 09:14",1014.7,"2013-01-06 14:39",18.7,21.7,"2013-01-06 10:21",17.1,"2013-01-06 00:41",15.1,80,72,"2013-01-06 10:08",2.9,90,8.5,50,"2013-01-06 09:52",NA,1,NA,"2013-01-06 19:20",NA,"2013-01-06 19:20","1.6",15.1,6.93,11.9,-0.9,NA,"",9.6
"2013-01-07",1016,1017.3,1018.7,"2013-01-07 09:02",1013.6,"2013-01-07 15:07",18.8,21.5,"2013-01-07 11:19",17.3,"2013-01-07 05:58",15.2,80,72,"2013-01-07 12:55",2.1,100,8.7,90,"2013-01-07 11:22",NA,2.3,NA,"2013-01-07 04:15",NA,"2013-01-07 04:15","0.6",5.7,6.75,13.4,-0.7,NA,"",9.5
"2013-01-08",1016.6,1017.9,1019,"2013-01-08 09:23",1014.9,"2013-01-08 14:31",16.5,18.2,"2013-01-08 00:01",15.2,"2013-01-08 23:53",14,85,78,"2013-01-08 02:23",1.7,90,6.5,70,"2013-01-08 18:05",14,20.5,1,"2013-01-08 10:43",2.5,"2013-01-08 22:26","0.0",0,1.11,6.6,-0.2,NA,"",10
"2013-01-09",1019.2,1020.5,1020.6,"2013-01-09 08:44",1017.4,"2013-01-09 13:51",14.4,15.2,"2013-01-09 00:06",13.7,"2013-01-09 05:56",11.8,84,80,"2013-01-09 17:37",2.1,90,7.7,90,"2013-01-09 16:36",16.5,18.5,1,"2013-01-09 00:10",3.5,"2013-01-09 00:10","0.0",0,0.21,6,-0.2,NA,"",10
"2013-01-10",1021.1,1022.4,1022.8,"2013-01-10 22:16",1019.6,"2013-01-10 03:18",14.3,15,"2013-01-10 13:12",13.6,"2013-01-10 01:22",10.9,80,73,"2013-01-10 16:57",3.4,80,11.9,70,"2013-01-10 16:17",2,12.6,0.5,"2013-01-10 00:33",1,"2013-01-10 00:01","0.0",0,1.39,8.5,-0.6,NA,"",10
"2013-01-11",1018.9,1020.2,1022.6,"2013-01-11 00:16",1016.2,"2013-01-11 14:10",18.1,22.6,"2013-01-11 14:37",13.8,"2013-01-11 01:14",13,73,59,"2013-01-11 12:42",3.3,80,12.2,80,"2013-01-11 12:23",NA,1.4,NA,"2013-01-11 00:48",NA,"2013-01-11 00:48","7.8",73.2,14.44,14.6,-1,NA,"",6.1
