"01","02","03","04","05","06","07","08","09","10","11","12"
" 56.0","100.5","149.0","265.5","262.5","702.5","313.0","120.5","209.5","726.5","309.5","231.5"
"14.84839","13.21786","15.11935","18.57000","22.08710","24.94000","26.15484","26.66452","25.27000","21.43871","19.11333","13.84839"
"18.78276","16.92174","20.07619","24.95000","27.83548","31.39000","34.03871","34.23929","31.68889","25.68800","23.11923","16.84194"
"11.31379","10.17826","11.70476","13.92857","18.36129","21.02333","21.46452","21.49286","21.20370","18.91200","16.61923","11.29355"
"26.7","27.5","27.7","33.2","33.6","34.7","36.7","36.4","36.3","34.8","30.5","23.1"
" 7.6"," 4.7"," 6.5"," 4.5","12.0","19.7","20.4","18.8","17.5","12.9","12.5"," 7.0"
