"01","02","03","04","05","06","07","08","09","10","11","12"
"133.8"," 62.1"," 93.8"," 28.7","468.3","333.6","956.1","648.0","164.6","248.1","392.5","126.0"
" 5.509677"," 6.689286"," 8.564516"," 9.766667","13.135484","14.666667","14.483871","14.358065","13.630000","12.187097","11.406667"," 7.835484"
" 9.258065","11.232143","12.632258","14.203333","17.287097","19.110000","18.561290","18.535484","17.990000","16.864516","15.423333","11.261290"
" 3.009677"," 3.546429"," 5.964516"," 6.500000","10.422581","11.603333","11.687097","11.538710","10.723333"," 9.332258"," 8.690000"," 4.809677"
"12.2","16.5","19.0","18.3","20.1","21.7","22.3","21.0","22.1","21.9","18.8","17.3"
"-1.7","-0.2"," 3.5"," 1.3"," 8.0","10.3"," 9.7"," 9.6"," 8.0"," 5.0"," 4.4","-0.7"
