"01","02","03","04","05","06","07","08","09","10","11","12"
"128.5","323.5"," 68.5","204.5","257.0","577.5","217.0","203.5","309.0","397.0"," 53.0"," 79.5"
"14.06774","14.76071","16.77419","17.88000","22.03871","23.04333","25.60645","25.96774","24.68000","21.22258","18.29667","14.01935"
"18.68387","18.96071","21.85161","22.38000","26.33548","27.23667","31.19677","31.52258","30.03333","24.69355","21.84667","18.35333"
"11.04516","12.00357","13.32903","14.77000","19.10323","20.52667","22.22581","22.64839","21.48667","18.91935","15.69667","10.48000"
"25.3","29.1","28.0","29.7","31.1","31.9","34.2","34.4","33.0","31.1","24.8","24.5"
" 3.1"," 7.2"," 3.0","10.4","15.8","16.7","20.8","20.8","19.4","12.0","11.8"," 3.4"
