"01","02","03","04","05","06","07","08","09","10","11","12"
" 34.7","215.5","165.5"," 85.1","580.4","425.8","234.2","135.6","185.0"," 42.8","123.0","141.6"
"16.23548","15.99286","18.49032","22.37333","25.07097","27.97000","30.17742","29.72581","29.55667","24.49032","21.96333","16.22258"
"20.79032","19.87143","22.23871","26.47667","28.97742","32.10333","35.16774","34.85484","34.57667","28.09355","25.42667","19.24516"
"12.44839","13.10000","15.52903","19.70000","22.34516","25.40333","26.32258","26.27742","26.18000","21.85161","19.34333","14.02258"
"26.6","27.5","31.6","32.2","35.3","35.4","37.7","37.4","37.5","33.5","31.3","24.9"
" 8.1"," 7.6","12.0","16.2","15.2","23.1","24.3","24.0","22.7","18.3","16.7"," 8.9"
