"01","02","03","04","05","06","07","08","09","10","11","12"
" 477.2"," 315.8"," 365.5"," 280.4"," 190.0"," 397.7"," 211.1"," 100.6","1027.7"," 667.9"," 521.7"," 200.9"
"10.30645"," 9.67931","12.01935","18.56667","20.72903","23.06000","23.86452","23.17097","21.55000","20.73871","16.27667","13.41290"
"12.92903","13.23448","15.71935","22.81667","24.50645","26.89667","28.01935","26.98387","24.27333","23.36774","19.35333","16.36774"
" 8.203226"," 7.206897"," 9.138710","15.780000","18.145161","20.743333","21.290323","20.864516","19.976667","19.058065","14.253333","11.061290"
"20.9","24.9","22.5","28.2","28.8","30.1","29.9","29.6","29.4","28.8","26.2","25.4"
"-3.7"," 0.4"," 2.3","11.1"," 9.9","19.0","20.1","17.5","17.6","14.7","11.1"," 5.5"
