"01","02","03","04","05","06","07","08","09","10","11","12"
" 74.5"," 13.5"," 74.5","312.5","299.5","107.0","178.0","746.5"," 84.0"," 77.0"," 51.5","217.0"
"14.77419","16.76429","18.09032","19.31667","24.20645","27.34333","27.45484","27.36129","26.03000","22.45806","19.46333","14.45161"
"18.23548","20.75714","22.16774","22.76667","28.24516","31.60333","32.86129","32.04839","30.39333","25.94516","23.13103","17.38387"
"12.41290","13.94643","14.90000","16.38000","21.41290","24.43000","24.11935","24.26452","22.93667","20.18710","17.06333","12.13548"
"25.2","27.3","27.1","29.1","33.3","33.8","35.5","36.6","34.2","30.9","31.6","26.7"
" 9.3","11.2"," 9.8","12.0","11.9","22.4","20.5","22.2","20.2","16.5"," 8.8"," 8.0"
